LCC,Yr.,Title
B5134.K753 .M55 1982,1982 P,"The Mirror of Relationship: Love, Sex and Chasity"
B52 .T37 v.21no.2,1998 O,"Volume 21, Number 2, June 1998"
B52.7 .B43 1966,1966 P,Thinking and Writing about Philosophy
B52.7 .B43 1996,1996,Thinking and Writing about Philosophy
B52.7 .G73 1998,1998,The Philosophy Student Writer's Manual
B52.7 .G73 1998,1998,The Philosophy Student Writer's Manual
B52.7 .G73 1998,1998,The Philosophy Student Writer's Manual
B52.7 .G73 1998 ,1998,The Philosophy Student Writer's Manual
B52.7 .G73 2003,2003 P,The Philosophy Student Writers Manual
B52.7 .V38 2005,2005,Writing Philosophy: a students guide to Writing Philosophy Essays
B5241 .C66 2009,2009,Frontiers of Japanese Philosophy 6: Confluences and Cross-Currents
B5241 .C66 2009,2009,Frontiers of Japanese Philosophy 6: Confluences and Cross-Currents
B53 .A9,1946,Language Truth and Logic
B53 .B564 1972,1972 P,Philosophy: An Introduction
B53 .B578 1975,1975 P,The Owl of Minerva: Philosophers on Philosophy
B53 .D3 1968,1968 P,What Philosophy Is: A Guide to the Elements
B53 .J6 1965,1965 P,What is Philosophy?
B53 .L34,1970,The Cognitivity Paradox
B53 .P4375,1993 H,Perspectives in Philosophy
B53 .R68,1980,Philosophy and the Mirror Nature
B53 .T5 1961,1961,The Nature of Philosophy
B53 .T5 1961,1961,The Nature of Philosophy
B53 .T5 ,1961,The Nature of Philosophy
B53 .T68,1976 P,Knowing & Acting: An Invitation to Philosophy
B53 .V5 1995,1995 O,Visions and Values: Readings in the Human Experience
B53 .W4 1969,1969 P,The Activity of Philosophy
B53 .W45 1970,1970 P,Prolegomena to Philosophy
B53 .W67 1984,1984 P,A Preface to Philosophy
B56 .G5,1968,Philosophy and Religion: Some Contemporary Perspectives
B56 .G5,1968,Philosophy and Religion: Some Contemporary Perspectives
B570 .E51582,1994,The Epicurus Reader
B659 .D472 E5,2010,The Consolation of Philosophy
